"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"363","0",9,"10","PUBLIC",8,8,634,"0","NEW","March","0",816,"M-L","1",10,9.31
"365","0",14,"6","PUBLIC",9,8,550,"0","EXISTING","March","1",848,"S-M","1",10,10
"366","1",2,"6","PUBLIC",11,12,1361,"0","EXISTING","March","0",19,"L","0",8,8
"368","0",11,"5","PUBLIC",7,11,406,"0","NEW","March","0",900,"S-M","0",10,8.7
"369","0",11,"5","PUBLIC",9,8,843,"0","EXISTING","March","1",406,"L","1",10,9.75
"370","1",5,"10","PUBLIC",8,8,450,"0","NEW","March","0",486,"S-M","0",10,9.83
"371","1",19,"10","CHD",13,12,275,"1","EXISTING","March","0",1514,"S","0",9,9.23
"372","0",27,"5","PUBLIC",9,9,810,"0","EXISTING","March","1",952,"M-L","1",10,10
"373","1",25,"5","PUBLIC",12,8,986,"0","EXISTING","March","0",836,"L","0",10,9.52
"375","0",33,"5","CHD",13,12,1100,"1","EXISTING","March","1",954,"L","1",9.85,10
"376","0",7,"4","PUBLIC",12,6,300,"0","EXISTING","March","0",629,"S","0",8.74,8
"377","1",2,"6","PUBLIC",11,12,700,"0","NEW","March","0",120,"M-L","0",4,7.88
"379","1",33,"5","Private non-Christian",12,8,375,"1","EXISTING","March","0",1593,"S-M","0",9.1,9
"380","0",12,"5","PUBLIC",8,8,773,"0","NEW","March","1",915,"M-L","0",10,9.62
"381","0",4,"5","PUBLIC",8,8,772,"0","EXISTING","March","0",224,"M-L","1",10,9
"382","0",30,"10","Catholic",13,8,330,"0","EXISTING","March","1",1644,"S","1",9,10
"383","0",19,"5","CHD",12,8,470,"0","EXISTING","March","1",1240,"S-M","1",10,10
"384","0",6,"5","Private non-Christian",12,12,535,"0","NEW","March","1",360,"S-M","0",8.11,7.95
"385","0",11,"10","PUBLIC",8,8,240,"0","EXISTING","March","0",1290,"S","1",9,9.18
"386","0",19,"4","PUBLIC",12,6,645,"0","NEW","March","0",765,"M-L","1",8,8.24
"387","0",33,"5","PUBLIC",9,8,779,"0","EXISTING","March","1",1268,"M-L","1",9,10
"388","1",17,"5","PUBLIC",8,8,380,"0","EXISTING","March","1",1543,"S-M","0",9.86,9.78
"389","0",28,"5","Catholic",12,8,576,"0","EXISTING","March","1",1379,"M-L","1",10,9.16
"390","0",24,"10","PUBLIC",8,8,405,"0","NEW","March","0",1416,"S-M","1",9,8.9
"392","0",8,"10","PUBLIC",12,8,1040,"0","NEW","March","1",370,"L","1",10,9.26
"393","1",29,"10","PUBLIC",7,8,850,"0","EXISTING","March","0",1374,"L","0",9.18,8
"394","0",0,"5","PUBLIC",8,8,597,"0","EXISTING","March","0",265,"M-L","1",7,9
"396","0",28,"5","PUBLIC",9,8,790,"0","EXISTING","March","1",1326,"M-L","1",9,10
"397","0",8,"5","PUBLIC",8,8,923,"0","NEW","March","0",420,"L","0",5,7.95
"398","0",5,"5","PUBLIC",8,8,467,"0","NEW","March","1",820,"S-M","0",7.67,8.16
"399","0",23,"10","CHD",13,12,880,"0","EXISTING","March","1",1035,"L","1",10,10
"400","1",22,"5","CHD",13,12,456,"1","EXISTING","March","0",1624,"S-M","0",10,9.71
"401","1",28,"7","Private non-Christian",1,7.88,240,"0","EXISTING","March","1",1755,"S","1",9.56,9
"402","0",257,"5","PUBLIC",8,8,943,"0","EXISTING","March","0",1876,"L","1",9.15,9
"403","0",15,"10","CHD",13,12,806,"0","EXISTING","March","1",1173,"M-L","1",8,9.47
"404","0",9,"6","PUBLIC",7,6,850,"0","EXISTING","March","0",424,"L","1",9.75,10
"405","0",34,"7","PUBLIC",1,7.86,694.03,"0","EXISTING","March","1",1256.42,"","1",10,9
"407","0",4,"10","Private non-Christian",13,8,175,"0","NEW","March","1",976,"S","0",9.82,9.37
"408","0",8,"10","PUBLIC",8,12,149,"0","NEW","March","0",1723,"S","0",7,9.24
"409","1",3,"5","PUBLIC",9,9,1045,"0","NEW","March","0",59,"L","0",9,10
"410","0",21,"5","CHD",9,8,175,"1","EXISTING","March","0",1726,"S","1",10,10
"411","0",16,"10","CHD",13,8,307,"0","EXISTING","March","1",1431,"S","1",10,10
"412","1",18,"8","PUBLIC",11,12,905,"0","EXISTING","March","0",752,"L","1",9,10
"413","0",11,"10","Private non-Christian",7,8,100,"0","EXISTING","March","1",1785,"S","1",9.3,9.27
"414","0",25,"8","PUBLIC",11,12,3200,"0","EXISTING","March","0",308,"L","1",8,8.48
"415","0",7,"8","PUBLIC",11,12,3200,"0","NEW","March","0",154,"L","1",8,8.07
"416","0",23,"10","PUBLIC",8,8,875,"0","NEW","March","0",839,"L","1",10,9.73
"418","0",14,"10","PUBLIC",12,8,600,"0","NEW","March","1",825,"M-L","1",10,9.81
"419","1",7,"10","PUBLIC",9,8,1250,"0","NEW","March","1",148,"L","0",8.06,7.87
"420","0",15,"3","PUBLIC",8,8,400,"0","NEW","March","1",995,"S-M","1",10,9.71
"421","0",83,"5","PUBLIC",7,8,1200,"0","EXISTING","March","1",1764,"L","1",10,9
"422","0",6,"5","PUBLIC",8,12,600,"0","NEW","March","1",313,"M-L","1",9,8.74
"423","0",5,"5","PUBLIC",8,8,700,"0","NEW","March","0",300,"M-L","0",8,8.38
"424","0",23,"5","PUBLIC",8,8,1104,"0","EXISTING","March","1",702,"L","1",10,10
"425","0",44,"5","PUBLIC",13,12,731.175,"0","EXISTING","March","1",1320.63,"","1",9.18,8.65
"428","0",0,"5","Private non-Christian",6,12,410,"1","EXISTING","March","1",1405,"S-M","1",10,10
"429","1",26,"10","PUBLIC",7,8,700,"1","EXISTING","March","0",1273,"M-L","0",9.89,9.57
"430","1",22,"10","PUBLIC",13,8,340,"0","EXISTING","March","0",1547,"S-M","0",8,9.47
"431","1",10,"10","PUBLIC",7,8,653,"0","EXISTING","March","0",581,"M-L","0",9,8.595
"433","0",4,"8","PUBLIC",11,12,1602,"0","NEW","March","1",35,"L","0",10,9.43
"434","0",104,"4","PUBLIC",13,5,657,"0","NEW","March","1",1872,"M-L","0",8.21,9.01
"435","0",10,"10","PUBLIC",8,8,881,"0","NEW","March","0",388,"L","0",8,8.49
"436","0",30,"10","PUBLIC",7,12,586,"0","EXISTING","March","1",1316,"M-L","1",10,10
"437","1",6,"1","CHD",12,9,105,"0","EXISTING","March","0",1132,"S","0",9.65,9.22
"438","0",20,"10","PUBLIC",8,8,607,"0","NEW","March","1",1074,"M-L","0",9,9.33
"439","0",5,"2","PUBLIC",8,8,450,"0","NEW","March","0",1354,"S-M","0",8,8.545
"440","0",85,"10","PUBLIC",9,9,1050,"0","EXISTING","March","1",1726,"L","1",9,8
"441","1",8,"5","CHD",13,12,520,"0","EXISTING","March","0",472,"S-M","0",8,9.175
"442","0",8,"10","CHD",12,12,126,"0","NEW","March","1",1425,"S","0",9.64,9.16
"443","0",11,"4","CHD",13,5,594,"0","NEW","March","1",452,"M-L","1",10,9.33
"444","0",14,"10","PUBLIC",8,8,631,"0","NEW","March","1",845,"M-L","0",10,8.89
"445","0",34,"5","PUBLIC",8,8,620,"0","EXISTING","March","1",1552,"M-L","1",10,10
"446","0",41,"10","PUBLIC",8,8,220,"0","NEW","April","0",1870,"S","0",10,9.28
"448","0",18,"5","PUBLIC",8,8,1600,"0","EXISTING","April","1",474,"L","1",10,10
"449","0",15,"10","PUBLIC",8,8,911,"0","NEW","April","0",722,"L","1",8.17,8.32
"451","0",6,"4","PUBLIC",12,5,987,"0","EXISTING","April","1",118,"L","0",10,9.58
"453","0",32,"4","PUBLIC",12,5,1072,"0","NEW","April","1",1139,"L","1",10,9.46
"454","0",22,"5","PUBLIC",8,8,800,"0","EXISTING","April","0",1253,"M-L","1",9,9
"455","0",12,"5","PUBLIC",8,8,730,"0","EXISTING","April","1",744,"M-L","1",10,10
"457","0",23,"5","PUBLIC",8,8,728,"0","NEW","April","1",941,"M-L","1",10,10
"458","0",8,"5","PUBLIC",8,7,650,"0","EXISTING","April","0",730,"M-L","0",10,9
"459","0",21,"5","PUBLIC",8,8,891,"0","EXISTING","April","1",737,"L","1",10,9.54
"460","0",32,"5","PUBLIC",8,8,1381,"0","EXISTING","April","1",1017,"L","1",10,8
"461","0",13,"5","PUBLIC",9,9,611,"0","EXISTING","April","1",912,"M-L","1",9,9
"462","0",32,"5","PUBLIC",9,12,1121,"0","EXISTING","April","0",955,"L","1",10,9
"463","0",8,"5","PUBLIC",9,8,1035,"0","EXISTING","April","1",236,"L","1",10,10
"464","0",8,"5","PUBLIC",8,8,741,"0","EXISTING","April","1",684,"M-L","0",9.66333333333333,9.6
"465","0",2,"5","CHD",13,8,250,"1","EXISTING","April","1",651,"S","1",10,9
"466","0",0,"4","PUBLIC",12,5,525,"0","EXISTING","April","1",313,"S-M","1",9.1,10
"467","0",10,"4","PUBLIC",12,5,579,"0","NEW","April","1",677,"M-L","0",10,9.41
"468","0",29,"5","PUBLIC",8,8,1000,"0","EXISTING","April","1",964,"L","1",9,9
"469","1",16,"5","PUBLIC",9,8,750,"0","NEW","April","0",699,"M-L","0",9.56,9.39
"470","0",13,"5","PUBLIC",9,9,734,"0","NEW","April","1",612,"M-L","1",8,8.18
"472","0",11,"5","PUBLIC",8,8,500,"0","NEW","April","0",844,"S-M","0",10,9.53
"473","0",9,"5","PUBLIC",9,8,701,"0","EXISTING","April","0",659,"M-L","0",10,10
"474","0",6,"5","PUBLIC",8,8,607,"0","EXISTING","April","1",309,"M-L","0",10,10
"475","0",22,"5","PUBLIC",8,8,900,"0","EXISTING","April","0",794,"L","1",8,8
"476","1",7,"5","PUBLIC",8,8,465,"0","EXISTING","April","0",607,"S-M","1",9,8.9
"477","1",2,"10","PUBLIC",7,8,600,"0","EXISTING","April","1",162,"M-L","0",9,8.98
"478","0",4,"5","PUBLIC",9,9,847,"0","EXISTING","April","1",160,"L","0",10,9.24
"479","1",2,"5","PUBLIC",12,8,190,"0","NEW","April","0",507,"S","1",10,9.67
"480","0",8,"5","PUBLIC",8,8,300,"0","EXISTING","April","1",872,"S","0",10,9.37
"481","0",11,"5","PUBLIC",8,8,647,"0","NEW","April","1",647,"M-L","1",8,8.58
"482","0",55,"5","PUBLIC",8,8,1110,"0","EXISTING","April","1",1183,"L","1",10,10
"483","0",26,"5","PUBLIC",8,8,770,"0","EXISTING","April","0",1132,"M-L","0",9.48,10
"485","0",14,"5","PUBLIC",9,8,500,"0","EXISTING","April","1",1004,"S-M","1",9.78,10
"487","1",10,"5","Catholic",13,8,531,"0","NEW","April","0",622,"S-M","0",10,9
"488","0",48,"5","PUBLIC",8,8,1200,"0","NEW","April","1",1232,"L","1",8,8
"491","0",24,"5","PUBLIC",8,8,906,"0","EXISTING","April","1",726,"L","1",9,9
"492","1",19,"10","PUBLIC",9,8,522,"0","EXISTING","April","0",1034,"S-M","0",9,10
"493","0",0,"1","Private non-Christian",12,8,155,"0","NEW","April","1",1575,"S","0",10,9
"495","0",7,"5","PUBLIC",8,8,946,"0","EXISTING","April","1",387,"L","0",10,9.5
"496","1",11,"10","PUBLIC",8,8,855,"0","EXISTING","April","1",482,"L","0",10,9.52
"497","0",6,"5","PUBLIC",8,8,710,"0","EXISTING","April","0",294,"M-L","0",10,9.43
"499","0",10,"5","PUBLIC",9,8,803,"0","EXISTING","April","0",812,"M-L","1",9,10
"500","0",44,"10","PUBLIC",8,8,1306,"0","EXISTING","April","0",1162,"L","0",8,8.53
"501","0",5,"5","PUBLIC",8,8,980,"0","EXISTING","April","0",399,"L","0",10,9.42
"502","0",11,"5","PUBLIC",12,8,720,"0","EXISTING","April","0",646,"M-L","0",9.87,9.64
"503","0",16,"10","PUBLIC",8,8,708,"0","EXISTING","April","0",936,"M-L","0",8,7
"504","1",6,"5","PUBLIC",12,8,308,"0","NEW","April","0",803,"S","0",9.85,9.52
"505","0",12,"5","PUBLIC",8,8,804,"0","NEW","April","0",687,"M-L","1",6,7.41
"506","0",7,"5","PUBLIC",9,8,1050,"0","EXISTING","April","1",229,"L","1",10,10
"508","0",7,"5","PUBLIC",12,8,490,"0","EXISTING","April","0",660,"S-M","0",9,9.21
"510","1",23,"5","PUBLIC",10,9,1200,"0","EXISTING","April","1",1054,"L","0",10,9.72
"511","0",10,"2","PUBLIC",8,8,1047,"0","NEW","April","0",314,"L","1",10,9.25
"513","0",14,"5","PUBLIC",12,8,550,"0","EXISTING","April","0",973,"S-M","0",7,8.55
"516","0",33,"5","PUBLIC",8,8,1135,"0","EXISTING","April","1",978,"L","1",10,10
"517","0",4,"5","PUBLIC",8,8,736,"0","NEW","April","1",467,"M-L","1",8,8.48
"518","0",42,"5","PUBLIC",8,8,1000,"0","EXISTING","April","1",987,"L","1",10,10
"519","0",8,"10","Catholic",13,8,225,"0","EXISTING","April","1",1293,"S","1",6,9
"521","0",7,"6","PUBLIC",9,9,714,"0","NEW","April","0",371,"M-L","0",8.23,7.95
"522","0",5,"6","PUBLIC",8,7,530,"0","EXISTING","April","0",544,"S-M","1",9,8.87
"523","0",25,"5","CHD",13,12,350,"0","EXISTING","April","1",1365,"S-M","1",10,10
"524","0",8,"5","PUBLIC",9,8,643,"0","NEW","April","0",414,"M-L","0",7.91333333333333,8.35
"526","0",8,"6","PUBLIC",8,7,580,"0","EXISTING","April","1",675,"M-L","1",10,9.5
"527","0",9,"4","PUBLIC",12,5,581,"0","EXISTING","April","0",608,"M-L","1",10,10
"528","1",9,"7","PUBLIC",1,7.83,593.86,"0","NEW","April","0",830.53,"","0",9.09333333333333,8.76
"529","1",7,"10","Private non-Christian",12,8,165,"0","EXISTING","April","1",1402,"S","1",10,10
"530","1",4,"5","Private non-Christian",12,8,428,"1","EXISTING","April","0",400,"S-M","1",10,9.51
"532","0",8,"5","PUBLIC",7,7,604,"0","EXISTING","April","0",555,"M-L","1",10,10
"535","0",21,"5","PUBLIC",9,8,609,"0","EXISTING","April","0",916,"M-L","1",7,8.67
"536","0",5,"5","PUBLIC",8,8,706,"0","NEW","April","1",512,"M-L","1",9.65,9.35
"537","0",7,"7","CHD",1,7.82,558.88,"0","EXISTING","April","1",776.41,"","1",10,9.51
"538","1",35,"4","Private non-Christian",13,8,500,"0","EXISTING","April","0",1459,"S-M","1",10,10
"542","0",27,"5","PUBLIC",12,8,627.83,"0","EXISTING","April","1",1175.86,"","1",9.29,9.21
"544","1",3,"6","PUBLIC",8,7,575,"0","NEW","April","0",227,"S-M","0",9.71,9.41
"545","0",54,"5","PUBLIC",8,8,670,"0","EXISTING","April","1",1604,"M-L","1",8,8
"546","1",0,"3","PUBLIC",1,7.86,598.95,"0","EXISTING","April","0",872.746666666667,"","1",10,9.62
"547","0",21,"5","CHD",9,12,563,"1","EXISTING","April","1",1101,"S-M","1",9,10
"548","0",19,"5","PUBLIC",8,8,975,"0","EXISTING","April","1",782,"L","1",9.16,6
"549","0",16,"10","PUBLIC",9,12,560,"0","NEW","April","1",1171,"S-M","0",9,8.63
"550","0",13,"5","PUBLIC",8,8,752,"0","EXISTING","April","1",870,"M-L","1",9.88,9.87
"551","1",7,"5","CHD",12,9,641,"0","EXISTING","April","1",379,"M-L","0",9.86,10
"552","0",55,"5","PUBLIC",8,12,760,"0","EXISTING","April","1",1702,"M-L","1",8,10
"553","0",10,"5","PUBLIC",8,8,890,"0","EXISTING","April","1",469,"L","1",10,9.73
"554","0",116,"5","PUBLIC",8,8,713,"1","EXISTING","April","1",1858,"M-L","1",10,10
"555","0",13,"10","PUBLIC",8,8,761,"0","NEW","April","1",444,"M-L","1",8,8.375
"557","0",6,"5","PUBLIC",9,9,816,"0","EXISTING","April","1",205,"L","0",10,8
"558","0",3,"5","PUBLIC",8,8,1265,"0","NEW","April","0",56,"L","0",8.12,8.14
"559","0",31,"5","PUBLIC",8,8,613,"0","EXISTING","April","1",1342,"M-L","1",10,9
"560","0",3,"10","PUBLIC",7,8,916,"0","EXISTING","April","1",476,"L","1",8.83,8.595
"561","0",34,"5","CHD",12,8,566,"1","EXISTING","April","1",1731,"S-M","1",10,9
"562","0",4,"10","CHD",13,12,282,"0","NEW","April","1",339,"S","0",9.59,9.7
"564","0",22,"5","Catholic",12,8,315,"0","EXISTING","April","1",1691,"S","0",8.95333333333333,8
"565","1",12,"1","CHD",13,8,175,"0","NEW","April","1",1822,"S","0",8,8.525
"566","0",29,"5","PUBLIC",9,8,420,"1","NEW","April","1",1760,"S-M","1",10,9.27
"567","0",21,"10","PUBLIC",12,12,900,"0","NEW","April","1",999,"L","1",8,8.88
"568","0",19,"2","PUBLIC",10,12,2098,"0","NEW","April","0",439,"L","0",9,8.58
"569","0",0,"10","PUBLIC",8,8,1269,"0","EXISTING","April","0",778,"L","1",10,10
"570","0",0,"11","Private non-Christian",8,8,155,"1","EXISTING","April","1",1875,"S","1",8.33,8.94
"572","0",61,"5","PUBLIC",8,8,420,"0","EXISTING","April","1",1824,"S-M","1",10,9
"573","1",13,"10","PUBLIC",8,8,475,"0","EXISTING","April","1",680,"S-M","0",10,9.57
"574","0",71,"5","PUBLIC",8,8,837,"0","EXISTING","April","1",1629,"L","1",9,10
"577","0",31,"4","PUBLIC",12,5,520,"1","EXISTING","April","1",1747,"S-M","1",10,8.945
"578","0",3,"4","PUBLIC",12,6,741,"1","EXISTING","April","1",197,"M-L","1",9.75,9.35
"579","0",16,"4","PUBLIC",12,6,730,"1","EXISTING","April","1",1097,"M-L","0",9.65,10
"580","0",4,"11","Private non-Christian",13,8,105,"0","NEW","April","1",1614,"S","1",10,8.97
"582","1",40,"10","PUBLIC",7,8,250,"0","EXISTING","April","0",1868,"S","0",9,10
"584","0",24,"4","PUBLIC",12,5,649,"0","EXISTING","April","1",873,"M-L","1",9,10
"585","0",0,"10","Catholic",13,8,268,"0","EXISTING","April","1",1636,"S","1",10,9.456
"586","0",20,"4","PUBLIC",13,5,902,"0","EXISTING","April","1",706,"L","1",9,9.48
"587","0",9,"5","CHD",13,8,270,"0","NEW","April","1",879,"S","1",10,9.46
"589","0",36,"4","PUBLIC",13,5,753,"0","EXISTING","April","1",1613,"M-L","1",10,10
"591","0",16,"5","PUBLIC",12,8,834,"0","EXISTING","April","1",663,"L","1",9,10
"592","0",45,"5","CHD",12,12,850,"1","EXISTING","April","1",1181,"L","1",10,9.34
"593","0",13,"5","PUBLIC",8,8,592,"0","EXISTING","April","1",697,"M-L","1",8.97333333333333,8.7
"594","0",48,"5","PUBLIC",8,8,868,"0","EXISTING","April","1",1529,"L","1",9.26,9
"595","1",6,"4","PUBLIC",12,5,803,"0","EXISTING","April","1",565,"M-L","0",9,9.53
"596","1",9,"4","PUBLIC",12,5,562,"0","NEW","April","1",857,"S-M","0",8.01,8.425
"597","0",3,"4","PUBLIC",13,5,335,"1","EXISTING","April","1",1536,"S","1",9.74,10
"599","0",6,"10","PUBLIC",8,8,275,"0","EXISTING","April","0",600,"S","0",9.3,9.16
"600","0",19,"5","PUBLIC",8,8,1015,"0","EXISTING","April","1",859,"L","1",10,10
"602","0",67,"5","PUBLIC",8,8,1000,"0","EXISTING","April","1",1440,"L","1",10,10
"603","0",31,"5","PUBLIC",9,8,535,"0","EXISTING","April","1",1445,"S-M","1",7,8.92
"604","0",15,"5","PUBLIC",8,8,175,"0","EXISTING","April","1",1830,"S","1",9.775,10
"605","0",66,"5","PUBLIC",9,8,469,"0","EXISTING","April","1",1866,"S-M","1",9,10
"606","1",15,"5","PUBLIC",11,12,1300,"0","NEW","April","0",329,"L","0",9,9.32
"607","0",3,"1","CHD",13,8,150,"0","EXISTING","April","1",486,"S","1",10,10
"608","0",23,"5","PUBLIC",7,8,540,"0","EXISTING","April","1",1354,"S-M","1",10,9.29
"609","0",13,"10","CHD",13,8,277,"1","EXISTING","April","1",1186,"S","1",10,10
"610","0",22,"5","CHD",13,8,426,"0","EXISTING","April","1",1281,"S-M","1",10,10
"611","0",10,"5","CHD",12,8,551.03,"0","EXISTING","April","1",838.76,"","1",10,9
"612","1",17,"10","CHD",13,12,350,"1","EXISTING","April","0",1345,"S-M","1",10,9.7
"613","0",28,"5","CHD",13,10,1000,"0","NEW","April","0",1291,"L","1",7.55,8.07
"614","0",41,"5","Private non-Christian",8,12,414,"0","EXISTING","April","1",1713,"S-M","0",9.15,9
"617","0",17,"5","PUBLIC",12,8,1054,"0","EXISTING","April","1",810,"L","1",9,8.87
"618","0",20,"5","PUBLIC",8,8,1209,"0","EXISTING","April","1",605,"L","1",10,10
"619","0",14,"1","Private non-Christian",12,8,211,"0","EXISTING","April","1",1404,"S","1",9.84,10
"620","0",14,"5","Private non-Christian",13,8,378,"1","EXISTING","April","1",1446,"S-M","1",9,10
"621","0",28,"5","PUBLIC",9,8,770,"0","EXISTING","April","1",1151,"M-L","1",9.845,10
"623","0",7,"10","PUBLIC",8,12,680,"0","EXISTING","April","1",1720,"M-L","1",10,9
"625","0",40,"5","PUBLIC",8,8,637,"0","EXISTING","April","1",1359,"M-L","1",10,10
"626","0",12,"5","CHD",13,12,350,"1","EXISTING","April","1",872,"S-M","1",9.66,10
"627","0",17,"5","PUBLIC",12,8,360,"0","EXISTING","April","1",1270,"S-M","1",8.9,9.16
"628","0",13,"5","PUBLIC",12,8,950,"0","EXISTING","April","1",657,"L","1",9.86,10
"629","1",13,"10","Catholic",12,8,170,"0","EXISTING","April","1",1720,"S","0",10,9.72
"630","1",21,"5","CHD",13,12,280,"1","EXISTING","April","0",1557,"S","0",9,9.33
"631","0",4,"10","CHD",12,6,165,"1","EXISTING","April","1",1016,"S","0",9.51,10
"632","0",12,"10","CHD",12,8,145,"1","EXISTING","April","1",1815,"S","1",9.54,9.26
"633","0",26,"5","Catholic",13,12,565,"0","EXISTING","April","1",1323,"S-M","1",8.91,8
"634","0",5,"10","Catholic",12,8,162,"0","EXISTING","April","1",1499,"S","1",9,10
"635","0",6,"5","Catholic",2,8,280,"0","NEW","April","0",803,"S","1",10,9.21
"636","1",28,"10","CHD",13,8,220,"1","EXISTING","April","0",1703,"S","0",10,9.25
"637","0",9,"10","CHD",12,12,205,"0","EXISTING","April","1",1666,"S","1",9,8
"639","0",15,"4","CHD",13,6,299,"1","EXISTING","April","1",1368,"S","1",9,10
"640","0",11,"4","PUBLIC",12,6,465,"0","NEW","April","1",922,"S-M","0",10,8.98
"641","0",12,"4","PUBLIC",13,6,622,"0","NEW","April","0",791,"M-L","0",7.99,8
"642","0",7,"4","PUBLIC",13,6,407,"0","NEW","April","0",681,"S-M","0",7.85,7.63
"643","0",58,"5","PUBLIC",8,8,666,"0","EXISTING","April","1",1891,"M-L","1",9,9
"645","0",11,"5","PUBLIC",9,12,1606,"0","EXISTING","April","1",268,"L","0",9,9
"646","0",21,"10","CHD",13,12,335,"0","EXISTING","April","1",1536,"S","1",10,10
"647","0",8,"5","PUBLIC",8,8,850,"1","EXISTING","April","1",303,"L","0",10,9.68
"648","0",0,"5","Catholic",13,12,636,"1","EXISTING","April","1",1227,"M-L","1",10,10
"649","1",24,"1","CHD",13,8,104,"1","EXISTING","April","0",1906,"S","0",8.55,8.56
"650","0",3,"10","PUBLIC",8,8,809,"0","EXISTING","April","1",536,"M-L","1",10,9.58
"652","0",10,"5","Catholic",13,12,323,"0","EXISTING","April","1",1031,"S","1",10,9.62
"653","0",0,"10","Catholic",13,8,381,"1","EXISTING","April","1",1541,"S-M","1",9.45,10
"654","0",45,"5","Catholic",13,8,560,"0","EXISTING","April","1",1623,"S-M","1",9.82,9.77
"655","0",0,"2","CHD",12,9,375,"0","EXISTING","April","1",1498,"S-M","1",9,9.23
"656","0",15,"5","PUBLIC",13,8,556,"0","NEW","April","1",767,"S-M","1",8,8.07
"657","0",8,"5","PUBLIC",8,8,590,"0","EXISTING","April","1",795,"M-L","0",10,10
"658","0",5,"5","PUBLIC",12,8,750,"0","NEW","April","1",392,"M-L","1",10,9.37
"659","0",0,"2","CHD",12,8,329,"1","EXISTING","April","0",1246,"S","1",9,10
"660","0",41,"7","CHD",1,7.98,716.58,"0","NEW","April","0",1273.4,"","1",8.52,7.84
"661","0",4,"6","PUBLIC",9,8,780,"0","EXISTING","April","0",432,"M-L","1",8,10
"662","0",7,"6","PUBLIC",8,8,1281,"0","NEW","April","0",77,"L","0",8.85,8.01
"663","0",2,"5","PUBLIC",9,8,1470,"0","NEW","April","0",30,"L","0",9.13,7
"664","0",2,"1","CHD",13,12,287,"0","NEW","April","1",579,"S","0",10,9.32
"665","0",17,"10","Catholic",12,8,350,"0","EXISTING","April","1",1587,"S-M","1",10,9
"666","0",18,"10","CHD",13,8,185,"1","EXISTING","April","1",1656,"S","1",9.2,9
"667","1",11,"2","PUBLIC",13,7,491,"0","EXISTING","April","0",1179,"S-M","0",9.77,9.52
"668","0",0,"10","Private non-Christian",13,12,830,"0","EXISTING","April","1",1419,"L","1",8,7
"669","1",12,"4","Catholic",13,8,235,"0","EXISTING","April","0",1516,"S","1",8,9
"672","0",19,"5","Catholic",13,8,400,"0","EXISTING","April","1",1403,"S-M","1",10,9.42
"673","0",35,"5","PUBLIC",9,8,1611,"0","EXISTING","April","1",649,"L","1",9,8.65
"674","0",45,"5","PUBLIC",8,8,825,"0","NEW","April","0",1485,"L","1",8.36,8.11
"675","1",32,"5","CHD",13,8,850,"1","EXISTING","April","1",1311,"L","1",9.74,10
"676","0",8,"5","PUBLIC",12,7,670,"0","NEW","April","0",998,"M-L","1",9.87,9.67
"677","0",5,"5","CHD",13,8,535,"1","EXISTING","April","0",921,"S-M","1",10,9
"678","0",0,"5","CHD",13,8,535,"1","EXISTING","April","1",1292,"S-M","1",10,9
"679","0",0,"8","PUBLIC",11,12,373,"0","EXISTING","April","0",1801,"S-M","1",9.4,10
"680","0",29,"10","PUBLIC",8,8,1152,"0","EXISTING","April","1",1108,"L","1",9.83,10
"682","0",7,"10","PUBLIC",8,8,790,"0","EXISTING","April","1",366,"M-L","0",10,10
"683","0",88,"5","PUBLIC",9,8,728,"0","EXISTING","April","1",1871,"M-L","1",8,10
"684","1",13,"10","PUBLIC",9,12,818,"0","NEW","April","0",654,"L","0",10,10
"685","1",0,"5","PUBLIC",8,8,1554,"0","EXISTING","April","0",165,"L","1",9.37,9.21
"686","0",4,"5","PUBLIC",8,8,950,"0","NEW","April","1",168,"L","0",10,10
"690","0",2,"5","Private non-Christian",13,8,500,"1","EXISTING","April","1",1698,"S-M","1",7.25,8.57
"692","0",54,"5","PUBLIC",8,8,806,"0","EXISTING","April","1",1598,"M-L","1",9.18,10
"693","0",15,"4","PUBLIC",13,5,537,"0","EXISTING","April","1",1428,"S-M","1",10,10
"694","0",10,"6","PUBLIC",9,12,843,"0","EXISTING","April","1",683,"L","1",9.64,10
"696","0",8,"5","PUBLIC",8,8,500,"0","EXISTING","April","1",725,"S-M","1",9,9.34
"698","0",42,"10","PUBLIC",8,8,304,"0","EXISTING","April","0",1855,"S","1",8,9.35
"699","0",44,"5","PUBLIC",9,8,972,"0","EXISTING","April","1",1456,"L","1",9.74,9.62
"700","0",18,"5","PUBLIC",12,8,460,"0","EXISTING","April","1",1207,"S-M","1",9,9.33
"701","0",50,"10","PUBLIC",8,8,900,"0","EXISTING","April","1",1476,"L","0",8,9.26333333333333
"702","0",8,"5","CHD",12,8,286,"1","EXISTING","April","1",1205,"S","1",10,4
"703","0",16,"5","Catholic",13,8,300,"0","NEW","April","1",1418,"S","0",9.02,8.535
"704","0",5,"10","PUBLIC",8,8,357,"0","EXISTING","April","1",475,"S-M","1",8,8
"706","1",44,"10","PUBLIC",8,8,214,"0","EXISTING","April","1",1865,"S","0",10,10
